period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales
2023-12,KY,Kentucky,TRA,transportation,0,0,0,0
2023-12,LA,Louisiana,TRA,transportation,1,11.22,.08909,.79415
2023-12,ME,Maine,TRA,transportation,0,0,0,0
2023-12,MD,Maryland,TRA,transportation,5,11.7,3.81842,32.64136
2023-12,MA,Massachusetts,TRA,transportation,2,6.94,1.70412,24.57242
2023-12,MI,Michigan,TRA,transportation,2,13.68,.06102,.44594
2022-06,PACN,Pacific Noncontiguous,TRA,transportation,0,0,0,0
2024-01,IN,Indiana,TRA,transportation,1,11.86,.15764,1.32945
2024-01,IA,Iowa,TRA,transportation,0,0,0,0
2024-01,KS,Kansas,TRA,transportation,0,0,0,0
2024-01,KY,Kentucky,TRA,transportation,0,0,0,0
2024-07,MA,Massachusetts,TRA,transportation,2,8.76,2.1142,24.12523
2024-07,MI,Michigan,TRA,transportation,2,14.38,.0635,.4415
2024-07,MN,Minnesota,TRA,transportation,1,13.44,.13587,1.0111
2024-07,MS,Mississippi,TRA,transportation,0,0,0,0
2024-07,MO,Missouri,TRA,transportation,2,13.08,.29159,2.22927
2024-07,MT,Montana,TRA,transportation,0,0,0,0
2024-07,NE,Nebraska,TRA,transportation,0,0,0,0
2024-07,NV,Nevada,TRA,transportation,1,10.75,.08868,.82478
2024-07,NH,New Hampshire,TRA,transportation,0,0,0,0
2024-07,NJ,New Jersey,TRA,transportation,7,10.34,3.86081,37.34227
2024-01,LA,Louisiana,TRA,transportation,1,10.48,.09223,.88021
2024-07,AL,Alabama,TRA,transportation,0,0,0,0
2024-07,AK,Alaska,TRA,transportation,0,0,0,0
2024-07,AZ,Arizona,TRA,transportation,2,12.36,.12342,.99818
2024-07,AR,Arkansas,TRA,transportation,2,13.62,.00357,.02618
2024-07,CA,California,TRA,transportation,13,17.19,10.64613,61.94332
2024-07,CO,Colorado,TRA,transportation,1,9.6,.68544,7.13868
2024-07,CT,Connecticut,TRA,transportation,3,16.5,2.85692,17.31101
2024-07,DE,Delaware,TRA,transportation,0,0,0,0
2024-07,DC,District of Columbia,TRA,transportation,3,9.31,2.78316,29.90183
2024-07,FL,Florida,TRA,transportation,2,10.08,.6566,6.51542
2024-07,GA,Georgia,TRA,transportation,1,11.5,1.61784,14.06392
2024-07,HI,Hawaii,TRA,transportation,0,0,0,0
2024-07,ID,Idaho,TRA,transportation,0,0,0,0
2024-07,IL,Illinois,TRA,transportation,3,8.1,2.95403,36.46676
2024-07,IN,Indiana,TRA,transportation,1,11.64,.19478,1.6727
2024-07,IA,Iowa,TRA,transportation,0,0,0,0
2024-07,KS,Kansas,TRA,transportation,0,0,0,0
2024-07,KY,Kentucky,TRA,transportation,0,0,0,0
2024-07,LA,Louisiana,TRA,transportation,1,11.25,.10513,.93474
2024-07,ME,Maine,TRA,transportation,0,0,0,0
2024-07,MD,Maryland,TRA,transportation,5,11.37,3.79478,33.38515
2022-09,NE,Nebraska,TRA,transportation,0,0,0,0
2022-09,NV,Nevada,TRA,transportation,1,10.27,.06965,.67815
2022-09,NH,New Hampshire,TRA,transportation,0,0,0,0
2022-09,NY,New York,TRA,transportation,8,14.51,31.77779,218.95504
2022-09,NC,North Carolina,TRA,transportation,1,7.96,.1015,1.27501
2022-09,ND,North Dakota,TRA,transportation,0,0,0,0
2022-09,OH,Ohio,TRA,transportation,3,13.89,.29519,2.12533
2022-09,OK,Oklahoma,TRA,transportation,0,0,0,0
2022-09,OR,Oregon,TRA,transportation,2,10.77,.2038,1.89311
2024-04,NEW,New England,TRA,transportation,6,12.19,4.91238,40.29482
2024-04,MAT,Middle Atlantic,TRA,transportation,20,13.67,37.16226,271.88717
2024-04,ENC,East North Central,TRA,transportation,10,7.22,4.5574,63.09621
2024-04,WNC,West North Central,TRA,transportation,3,10.54,.31696,3.00711
2024-04,SAT,South Atlantic,TRA,transportation,13,10.24,7.9049,77.22245
2024-04,ESC,East South Central,TRA,transportation,0,0,0,0
2024-04,WSC,West South Central,TRA,transportation,6,8.25,.11345,1.3757
2024-04,MTN,Mountain,TRA,transportation,5,10.73,1.42598,13.28529
2024-04,PACC,Pacific Contiguous,TRA,transportation,19,15.5,10.46529,67.53561
2024-04,PACN,Pacific Noncontiguous,TRA,transportation,0,0,0,0
2024-04,US,U.S. Total,TRA,transportation,82,12.43,66.85861,537.70435
2024-04,OK,Oklahoma,TRA,transportation,0,0,0,0
2024-04,OR,Oregon,TRA,transportation,2,12.62,.22441,1.77804
2023-03,PACC,Pacific Contiguous,TRA,transportation,19,11.63,8.44964,72.62618
2023-03,PACN,Pacific Noncontiguous,TRA,transportation,0,0,0,0
2023-03,US,U.S. Total,TRA,transportation,84,12.28,70.83403,576.97647
2023-12,AL,Alabama,TRA,transportation,0,0,0,0
2023-12,AK,Alaska,TRA,transportation,0,0,0,0
2023-12,AZ,Arizona,TRA,transportation,2,9.63,.0749,.77756
2023-12,AR,Arkansas,TRA,transportation,2,15.18,.00305,.02008
2023-12,CA,California,TRA,transportation,12,13.09,6.71329,51.26901
2023-12,CO,Colorado,TRA,transportation,2,12.39,.98124,7.92043
2023-12,CT,Connecticut,TRA,transportation,3,19.57,3.47643,17.76381
2023-12,DE,Delaware,TRA,transportation,0,0,0,0
2023-12,DC,District of Columbia,TRA,transportation,3,10.57,2.24845,21.26509
2023-12,FL,Florida,TRA,transportation,2,11.31,.62989,5.56806
2023-12,GA,Georgia,TRA,transportation,1,6.2,.81653,13.16384
2023-12,HI,Hawaii,TRA,transportation,0,0,0,0
2023-12,ID,Idaho,TRA,transportation,0,0,0,0
2023-12,IL,Illinois,TRA,transportation,4,7.29,2.39258,32.80007
2023-12,IN,Indiana,TRA,transportation,1,11.56,.11788,1.01964
2023-12,IA,Iowa,TRA,transportation,0,0,0,0
2023-12,KS,Kansas,TRA,transportation,0,0,0,0
2009-10,NM,New Mexico,TRA,transportation,0,0,0,0
2009-10,NY,New York,TRA,transportation,24,12.87,29.0441,225.72608
2009-10,NC,North Carolina,TRA,transportation,1,7.16,.0417,.5828
2009-10,ND,North Dakota,TRA,transportation,0,0,0,0
2009-10,OH,Ohio,TRA,transportation,2,10.2,.20866,2.04656
2009-10,OK,Oklahoma,TRA,transportation,0,0,0,0
2009-10,OR,Oregon,TRA,transportation,58,6.96,.14159,2.03476
2009-10,PA,Pennsylvania,TRA,transportation,14,7.86,5.61947,71.50775
2009-10,RI,Rhode Island,TRA,transportation,0,0,0,0
2009-10,SC,South Carolina,TRA,transportation,0,0,0,0
2009-10,SD,South Dakota,TRA,transportation,0,0,0,0
2009-10,TN,Tennessee,TRA,transportation,1,10.21,.01501,.147
2009-10,TX,Texas,TRA,transportation,2,9.86,.58262,5.90771
2009-10,UT,Utah,TRA,transportation,10,8.45,.21026,2.48909
2009-10,VT,Vermont,TRA,transportation,0,0,0,0
2009-10,VA,Virginia,TRA,transportation,1,8.37,1.31639,15.727
2009-10,WA,Washington,TRA,transportation,5,6.69,.01422,.21242
2009-10,WV,West Virginia,TRA,transportation,1,6.83,.02754,.40301
2009-10,WI,Wisconsin,TRA,transportation,0,0,0,0
2009-10,WY,Wyoming,TRA,transportation,0,0,0,0
2009-10,NEW,New England,TRA,transportation,3,7.58,3.08611,40.71781
2019-12,DE,Delaware,TRA,transportation,0,0,0,0
2019-12,DC,District of Columbia,TRA,transportation,3,9.5,2.46855,25.98751
2008-08,WI,Wisconsin,TRA,transportation,0,0,0,0
2008-08,WY,Wyoming,TRA,transportation,0,0,0,0
2008-08,NEW,New England,TRA,transportation,6,12,5.73582,47.79378
2019-09,ID,Idaho,TRA,transportation,0,0,0,0
2009-10,WSC,West South Central,TRA,transportation,28,9.93,.67766,6.82318
2009-10,MTN,Mountain,TRA,transportation,29,8.68,.60834,7.00509
2010-10,MTN,Mountain,TRA,transportation,29,9.24,.639,6.91667
2010-10,PACC,Pacific Contiguous,TRA,transportation,75,8.32,5.95166,71.57418
2010-10,PACN,Pacific Noncontiguous,TRA,transportation,0,0,0,0
2010-10,US,U.S. Total,TRA,transportation,231,10.53,64.27021,610.30565
2010-11,MS,Mississippi,TRA,transportation,0,0,0,0
2010-11,MO,Missouri,TRA,transportation,1,4.77,.106,2.22
2010-11,MT,Montana,TRA,transportation,0,0,0,0
2008-08,MAT,Middle Atlantic,TRA,transportation,43,12.74,43.89183,344.60539
2008-08,ENC,East North Central,TRA,transportation,8,8.41,4.38362,52.13029
2008-08,WNC,West North Central,TRA,transportation,2,7.86,.29,3.691
2008-08,SAT,South Atlantic,TRA,transportation,35,11.83,12.93893,109.37708
2008-08,ESC,East South Central,TRA,transportation,1,10.98,.009,.082
2008-08,WSC,West South Central,TRA,transportation,67,8.15,.54127,6.63907
